subject,od-leftHipp,od-rightHipp,od-pcc,icvf-leftHipp,icvf-rightHipp,icvf-pcc,isovf-leftHipp,isovf-rightHipp,isovf-pcc
sub-10317,0.605048 ,0.618227 ,0.442043 ,0.718944 ,0.696754 ,0.679412 ,0.347244 ,0.343731 ,0.200118 
sub-10369,0.623138 ,0.598478 ,0.393534 ,0.618813 ,0.663797 ,0.594208 ,0.258034 ,0.301330 ,0.150537 
sub-10402,0.653270 ,0.675727 ,0.422951 ,0.716824 ,0.761084 ,0.599540 ,0.389041 ,0.418923 ,0.171297 
sub-10418,0.638384 ,0.585425 ,0.495880 ,0.798862 ,0.751557 ,0.655387 ,0.364536 ,0.328201 ,0.278872 
sub-10462,0.579050 ,0.554314 ,0.503268 ,0.640839 ,0.652019 ,0.651931 ,0.258443 ,0.285690 ,0.236184 
sub-10478,0.513537 ,0.486033 ,0.451376 ,0.570127 ,0.539067 ,0.553000 ,0.208525 ,0.189124 ,0.126364 
sub-10486,0.548409 ,0.533212 ,0.406198 ,0.536651 ,0.559938 ,0.502025 ,0.200390 ,0.214251 ,0.110740 
sub-10529,0.594360 ,0.578611 ,0.502905 ,0.622436 ,0.608762 ,0.554021 ,0.271220 ,0.285243 ,0.160676 
sub-10541,0.645568 ,0.626669 ,0.495955 ,0.773811 ,0.730593 ,0.702403 ,0.406016 ,0.331781 ,0.231743 
sub-10559,0.644721 ,0.644944 ,0.510833 ,0.729850 ,0.734134 ,0.746837 ,0.293057 ,0.285199 ,0.180338 
sub-10572,0.641361 ,0.594439 ,0.558410 ,0.749175 ,0.700544 ,0.687930 ,0.334438 ,0.281420 ,0.266180 
sub-10581,0.930372 ,0.931243 ,0.477345 ,0.086152 ,0.105593 ,0.648857 ,0.024437 ,0.030233 ,0.271636 
sub-10585,0.615656 ,0.560687 ,0.474708 ,0.766877 ,0.717212 ,0.678966 ,0.339091 ,0.314565 ,0.237730 
sub-10589,0.624727 ,0.580494 ,0.397791 ,0.588536 ,0.619429 ,0.554768 ,0.206109 ,0.229365 ,0.121261 
